                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5904,                 5.7682,                 4.2961,                      0,                      0,                      0,                      0,                 3.4636,                 5.3552,                 4.1593,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.5062,                 5.7647,                 4.2745,                      0,                      0,                      0,                      0,                 3.4628,                 5.3537,                 4.1601,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.5523,                 5.7469,                 4.2787,                      0,                      0,                      0,                      0,                 3.4627,                 5.3541,                 4.1604,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 3.6418,                  5.734,                 4.2703,                      0,                      0,                      0,                      0,                 3.4619,                 5.3543,                 4.1611,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 3.6348,                 5.6932,                 4.2608,                      0,                      0,                      0,                      0,                 3.4614,                 5.3552,                 4.1614,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 3.5952,                 5.7013,                  4.234,                      0,                      0,                      0,                      0,                 3.4613,                 5.3551,                 4.1612,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 3.5526,                 5.6896,                  4.231,                      0,                      0,                      0,                      0,                 3.4601,                 5.3566,                  4.161,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 3.5999,                 5.6715,                 4.2468,                      0,                      0,                      0,                      0,                 3.4594,                 5.3589,                 4.1608,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 3.5934,                 5.6879,                 4.2268,                      0,                      0,                      0,                      0,                 3.4581,                 5.3601,                 4.1601,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 3.5374,                 5.6224,                 4.2217,                      0,                      0,                      0,                      0,                 3.4565,                 5.3615,                 4.1591,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 3.5645,                 5.6126,                 4.2188,                      0,                      0,                      0,                      0,                 3.4536,                 5.3668,                 4.1572,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 3.5658,                 5.6195,                 4.2025,                      0,                      0,                      0,                      0,                 3.4527,                 5.3713,                 4.1549,             0.00010074,             0.00010074,             0.00010074
                     13,                 3.5471,                 5.6351,                 4.2002,                      0,                      0,                      0,                      0,                 3.4518,                 5.3754,                 4.1521,             0.00010486,             0.00010486,             0.00010486
                     14,                 3.5754,                 5.5789,                 4.1944,                      0,                      0,                      0,                      0,                 3.4526,                  5.378,                 4.1482,             0.00010486,             0.00010486,             0.00010486
                     15,                 3.5703,                 5.5771,                 4.1762,                      0,                      0,                      0,                      0,                 3.4504,                 5.3789,                 4.1441,             0.00010368,             0.00010368,             0.00010368
                     16,                 3.5195,                 5.5492,                 4.1697,                      0,                      0,                      0,                      0,                 3.4491,                  5.378,                 4.1385,             0.00010251,             0.00010251,             0.00010251
                     17,                 3.5432,                 5.5444,                 4.1671,                      0,                      0,                      0,                      0,                 3.4466,                 5.3763,                 4.1329,             0.00010133,             0.00010133,             0.00010133
                     18,                  3.636,                 5.5446,                 4.1604,                      0,                      0,                      0,                      0,                 3.4403,                 5.3697,                 4.1274,             0.00010015,             0.00010015,             0.00010015
                     19,                 3.6194,                 5.5273,                 4.1513,                      0,                      0,                      0,                      0,                  3.433,                  5.358,                 4.1217,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 3.5907,                 5.4877,                 4.1543,                      0,                      0,                      0,                      0,                 3.4269,                 5.3349,                 4.1167,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 3.5504,                 5.4871,                 4.1501,                  2e-05,                  6e-05,                  1e-05,                  1e-05,                 3.4217,                 5.3015,                 4.1126,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                 3.5873,                 5.4762,                 4.1443,                0.00707,                0.00173,                0.00474,                0.00048,                 3.4147,                 5.2503,                 4.1089,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 3.5078,                 5.4683,                  4.133,                  4e-05,                0.00033,                  2e-05,                  1e-05,                 3.4108,                 5.1944,                 4.1043,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 3.4451,                 5.4482,                 4.1269,                0.01414,                0.00234,                0.00786,                0.00079,                 3.4013,                 5.1558,                 4.0998,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                 3.5354,                 5.4762,                 4.1149,                  7e-05,                0.00133,                  4e-05,                  1e-05,                   3.39,                 5.1123,                 4.0968,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                 3.5467,                 5.4293,                 4.1112,                0.00711,                0.00301,                0.00476,                0.00049,                 3.3834,                 5.0746,                 4.0929,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                 3.5098,                 5.4364,                 4.1063,                0.01414,                0.00301,                0.00787,                 0.0008,                 3.3773,                 5.0414,                 4.0893,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                 3.6026,                 5.4399,                 4.0941,                0.00334,                0.00593,                0.00353,                0.00089,                 3.3735,                 5.0105,                 4.0841,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                 3.6291,                 5.3914,                  4.098,                0.00218,                 0.0061,                0.00266,                0.00075,                 3.3717,                 4.9791,                 4.0797,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                 3.5751,                 5.4544,                 4.0777,                0.00207,                0.00828,                0.00275,                0.00074,                 3.3744,                 4.9532,                  4.075,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                 3.5358,                 5.3963,                 4.0743,                0.00215,                0.01132,                 0.0015,                0.00036,                 3.3707,                 4.9394,                 4.0678,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                 3.5571,                 5.3877,                 4.0662,                0.00116,                0.01413,                0.00094,                0.00011,                 3.3651,                 4.9275,                 4.0614,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     33,                 3.5088,                  5.351,                 4.0628,                0.00098,                0.01828,                0.00066,                  9e-05,                 3.3664,                 4.9024,                 4.0546,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     34,                 3.5624,                 5.3357,                 4.0491,                0.00064,                0.02281,                0.00053,                0.00011,                 3.3601,                  4.897,                 4.0444,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     35,                 3.5149,                 5.3476,                 4.0563,                0.00163,                0.02865,                0.00127,                 0.0003,                 3.3559,                 4.8904,                 4.0331,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     36,                 3.5476,                 5.3488,                  4.047,                0.00162,                0.03598,                0.00177,                0.00038,                 3.3479,                 4.8685,                 4.0205,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     37,                 3.5802,                 5.3763,                 4.0378,                0.00111,                0.03372,                0.00277,                0.00068,                  3.338,                 4.8504,                 4.0129,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     38,                 3.4422,                 5.3853,                 4.0258,                0.00083,                0.03338,                0.00252,                0.00061,                 3.3338,                 4.8405,                 4.0016,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     39,                 3.5169,                 5.2902,                 4.0165,                0.01486,                0.03963,                0.01188,                0.00139,                 3.3349,                 4.8319,                 3.9927,              7.541e-05,              7.541e-05,              7.541e-05
                     40,                 3.4739,                 5.3193,                 4.0187,                0.00765,                0.03353,                0.00791,                0.00139,                 3.3288,                 4.8305,                 3.9874,             7.4232e-05,             7.4232e-05,             7.4232e-05
