                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6784,                  3.152,                 1.6905,                0.00517,                0.83784,                0.12758,                0.03282,                 1.6887,                 3.6046,                 1.9983,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.6465,                  3.013,                 1.7083,                  0.005,                0.81081,                0.14869,                0.05609,                 1.5379,                 3.3897,                 2.0162,             0.00017822,             0.00017822,             0.00017822
                      3,                    1.7,                 2.7612,                 1.6409,                 0.0055,                0.89189,                0.24005,                0.07776,                 1.6996,                 3.4282,                 2.1561,             0.00027446,             0.00027446,             0.00027446
                      4,                  1.459,                 2.3797,                  1.529,                 0.0055,                0.89189,                0.24546,                0.07803,                 1.7413,                 3.5106,                 2.1523,             0.00036871,             0.00036871,             0.00036871
                      5,                 1.5005,                 2.3087,                 1.5537,                 0.0055,                0.89189,                0.25037,                0.07281,                 1.8325,                 3.4337,                 2.2324,             0.00046099,             0.00046099,             0.00046099
                      6,                 1.5407,                 2.2523,                 1.5339,                0.00567,                0.91892,                0.20182,                 0.0589,                 2.0979,                 3.4653,                 2.3929,             0.00055129,             0.00055129,             0.00055129
                      7,                 1.5102,                  2.202,                 1.4856,                0.00567,                0.91892,                0.11286,                0.03888,                 2.1573,                 3.5501,                 2.4855,             0.00063961,             0.00063961,             0.00063961
                      8,                 1.4985,                  2.098,                  1.504,                0.01146,                0.75676,                0.07957,                 0.0291,                 2.1625,                 3.5436,                 2.6977,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.4973,                 2.0897,                 1.4781,                0.15751,                0.16216,                0.12703,                0.05443,                 2.1148,                 3.1488,                 2.8982,              0.0008103,              0.0008103,              0.0008103
                     10,                 1.4604,                 2.0478,                  1.492,                0.17808,                0.27027,                0.13333,                0.06201,                 2.0972,                 3.3328,                 2.9695,             0.00089268,             0.00089268,             0.00089268
                     11,                 1.5377,                 1.9777,                 1.5008,                0.17879,                 0.2973,                0.10311,                0.04086,                 2.0799,                 3.4034,                  2.953,             0.00097308,             0.00097308,             0.00097308
                     12,                 1.4392,                 1.9563,                  1.432,                 0.2067,                0.40541,                0.18832,                0.06299,                 2.1341,                  3.283,                 3.2249,              0.0010515,              0.0010515,              0.0010515
                     13,                 1.5192,                 2.0237,                 1.5021,                 0.2772,                0.13514,                0.13696,                0.04523,                 2.0304,                 3.3129,                 3.0377,              0.0011279,              0.0011279,              0.0011279
                     14,                 1.5267,                 1.9171,                 1.4659,                0.07218,                0.13514,                0.05707,                0.01691,                 2.0382,                 3.5516,                 2.9101,              0.0012024,              0.0012024,              0.0012024
                     15,                 1.4949,                 2.0126,                  1.516,                0.18757,                0.18919,                 0.0946,                0.03575,                 2.0962,                 3.3155,                 3.1436,              0.0012749,              0.0012749,              0.0012749
                     16,                 1.5041,                 2.0804,                   1.55,                0.20946,                0.32432,                  0.083,                 0.0297,                 2.4121,                 3.5023,                 3.8351,              0.0013454,              0.0013454,              0.0013454
                     17,                 1.5239,                 1.9762,                 1.5308,                0.15336,                0.24324,                0.06854,                0.01965,                 2.6878,                 3.9398,                 4.6797,              0.0014139,              0.0014139,              0.0014139
                     18,                  1.498,                  1.918,                 1.5522,                0.06553,                0.21622,                0.03308,                 0.0099,                 2.5247,                 3.7129,                 4.3156,              0.0014804,              0.0014804,              0.0014804
                     19,                 1.5057,                 1.8975,                 1.5295,                0.19083,                0.27027,                0.07699,                0.02859,                 2.5223,                 3.5421,                 4.2448,               0.001545,               0.001545,               0.001545
                     20,                 1.5912,                  1.945,                 1.5824,                0.21135,                0.27027,                0.11216,                0.03734,                 2.4303,                 3.8633,                 3.6647,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.6415,                 2.0545,                 1.6424,                0.28475,                0.40541,                0.17164,                0.05949,                 2.2994,                 3.9348,                  3.285,               0.001604,               0.001604,               0.001604
                     22,                 1.5206,                 1.8992,                 1.5172,                0.41256,                0.32432,                0.27305,                0.07132,                 2.2289,                 3.6191,                 3.2311,               0.001604,               0.001604,               0.001604
