                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9282,                 5.9796,                 2.3253,                      0,                      0,                      0,                      0,                 3.3677,                 4.7796,                 3.0995,                 0.0004,                 0.0004,                 0.0004
                      2,                 2.9962,                 5.9262,                 2.3656,                      0,                      0,                      0,                      0,                 3.3774,                 4.7549,                 3.1141,             0.00089999,             0.00089999,             0.00089999
                      3,                 2.7472,                 5.7945,                 2.1395,                      0,                      0,                      0,                      0,                 3.0629,                 4.8022,                 2.7916,                 0.0014,                 0.0014,                 0.0014
                      4,                 1.9034,                 5.5023,                 1.5623,                      0,                      0,                      0,                      0,                 2.6923,                 4.6863,                 2.2607,              0.0018999,              0.0018999,              0.0018999
                      5,                 1.7827,                 5.5126,                 1.5729,                      0,                      0,                      0,                      0,                 2.5421,                 4.8808,                 2.4203,              0.0023999,              0.0023999,              0.0023999
                      6,                 1.5821,                 5.4162,                 1.4511,                      0,                      0,                      0,                      0,                 2.3508,                 4.9404,                 2.3695,              0.0028999,              0.0028999,              0.0028999
                      7,                 1.5338,                  5.359,                   1.41,                      0,                      0,                      0,                      0,                 2.0726,                  5.054,                 2.2414,              0.0033998,              0.0033998,              0.0033998
                      8,                 1.4058,                 5.3495,                 1.3571,                      0,                      0,                      0,                      0,                 1.6643,                  4.737,                 1.6079,              0.0038997,              0.0038997,              0.0038997
                      9,                 1.3398,                 5.1875,                 1.3321,                      0,                      0,                      0,                      0,                 1.3935,                 4.6286,                 1.3243,              0.0043997,              0.0043997,              0.0043997
                     10,                 1.3348,                 5.2195,                 1.2839,                      0,                      0,                      0,                      0,                 1.2151,                 4.5849,                 1.1751,              0.0048996,              0.0048996,              0.0048996
                     11,                 1.3324,                 5.0737,                 1.2858,                      0,                      0,                      0,                      0,                 1.0741,                   4.55,                 1.0948,              0.0053995,              0.0053995,              0.0053995
                     12,                 1.3852,                 5.1282,                 1.3454,                0.00081,                0.00847,                0.00116,                0.00089,                 1.0686,                 4.4847,                 1.1028,              0.0058994,              0.0058994,              0.0058994
                     13,                 1.2473,                 4.9488,                 1.2371,                0.00373,                0.09322,                0.01092,                0.00796,                 1.0561,                 4.3961,                  1.104,              0.0063992,              0.0063992,              0.0063992
                     14,                 1.3992,                 4.9333,                 1.3446,                0.00405,                0.04237,                0.01496,                0.01146,                  1.171,                 4.6431,                 1.3803,              0.0068991,              0.0068991,              0.0068991
                     15,                 1.2728,                 4.9496,                 1.2913,                0.00252,                0.01695,                0.00885,                0.00772,                 1.6853,                 4.7529,                 1.8573,               0.007399,               0.007399,               0.007399
                     16,                 1.3457,                 5.0428,                 1.3987,                0.00252,                0.01695,                0.00885,                0.00772,                 2.3165,                 5.3295,                 3.1071,              0.0078988,              0.0078988,              0.0078988
                     17,                 1.3987,                 4.8309,                 1.3414,                0.00252,                0.01695,                0.00885,                0.00772,                 2.1575,                  5.252,                 2.8061,              0.0083987,              0.0083987,              0.0083987
